segment_id,street_id,street_name,street_type,velocity,max_velocity,s_node_id,s_long,s_lat,e_node_id,e_long,e_lat,slow_traffic
0,31096786,Quốc Lộ 1,trunk,45.5,80.0,373543511,106.60178,10.7277176,5468660805,106.6016208,10.7267008,0
1,31096786,Quốc Lộ 1,trunk,45.5,80.0,5468660805,106.6016208,10.7267008,5738158916,106.6016071,10.7266133,0
2,31096786,Quốc Lộ 1,trunk,45.5,80.0,5738158916,106.6016071,10.7266133,5738158918,106.6015738,10.7264009,0
3,31096786,Quốc Lộ 1,trunk,45.5,80.0,5738158918,106.6015738,10.7264009,5738158912,106.6014811,10.7258087,0
4,31096786,Quốc Lộ 1,trunk,45.5,80.0,5738158912,106.6014811,10.7258087,5758104203,106.6012774,10.7246757,0
5,31096786,Quốc Lộ 1,trunk,45.5,80.0,5758104203,106.6012774,10.7246757,2242413001,106.6012412,10.7244744,0
6,31096786,Quốc Lộ 1,trunk,45.5,80.0,2242413001,106.6012412,10.7244744,4066528708,106.6012408,10.7243377,0
7,31096786,Quốc Lộ 1,trunk,45.5,80.0,4066528708,106.6012408,10.7243377,4066528709,106.6013046,10.7242105,0
8,31096786,Quốc Lộ 1,trunk,45.5,80.0,4066528709,106.6013046,10.7242105,4066528710,106.6013526,10.7241322,0
9,31096786,Quốc Lộ 1,trunk,45.5,80.0,4066528710,106.6013526,10.7241322,2242412994,106.6014308,10.7240366,0
14,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366450125,106.766903,10.8382661,5627450801,106.7669681,10.8383691,0
15,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,5627450801,106.7669681,10.8383691,366450125,106.766903,10.8382661,0
16,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,5627450801,106.7669681,10.8383691,3376089936,106.7670712,10.8385824,0
17,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,3376089936,106.7670712,10.8385824,5627450801,106.7669681,10.8383691,0
18,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,3376089936,106.7670712,10.8385824,3376089932,106.7672468,10.8389033,0
19,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,3376089932,106.7672468,10.8389033,3376089936,106.7670712,10.8385824,0
20,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,3376089932,106.7672468,10.8389033,366439221,106.7677324,10.8397378,0
21,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366439221,106.7677324,10.8397378,3376089932,106.7672468,10.8389033,0
22,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366439221,106.7677324,10.8397378,366380944,106.7682155,10.8406353,0
23,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366380944,106.7682155,10.8406353,366439221,106.7677324,10.8397378,0
24,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366380944,106.7682155,10.8406353,366428456,106.7687324,10.8415062,0
25,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366428456,106.7687324,10.8415062,366380944,106.7682155,10.8406353,0
26,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366428456,106.7687324,10.8415062,366416066,106.769254,10.8424219,0
27,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366416066,106.769254,10.8424219,366428456,106.7687324,10.8415062,0
28,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366416066,106.769254,10.8424219,366423483,106.7697498,10.8433299,0
29,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366423483,106.7697498,10.8433299,366416066,106.769254,10.8424219,0
30,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366423483,106.7697498,10.8433299,366450784,106.7702408,10.8442367,0
31,32575820,Nguyễn Văn Bá,tertiary,47.91718170580964,47.91718170580964,366450784,106.7702408,10.8442367,366423483,106.7697498,10.8433299,0
32,32575823,Nguyễn Thị Nhỏ,tertiary,20.660126141464172,47.91718170580964,2434647841,106.6524868,10.7690082,5765289876,106.6524795,10.7693985,0
33,32575862,Đường số 5,secondary,22.0,47.519646365422396,366469460,106.7619572,10.87865,3792257828,106.7621428,10.8788077,0
34,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3792257828,106.7621428,10.8788077,366469460,106.7619572,10.87865,0
35,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3792257828,106.7621428,10.8788077,3792257831,106.7629126,10.8790721,0
36,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3792257831,106.7629126,10.8790721,3792257828,106.7621428,10.8788077,0
37,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3792257831,106.7629126,10.8790721,366463672,106.7633787,10.8792332,0
38,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366463672,106.7633787,10.8792332,3792257831,106.7629126,10.8790721,0
39,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366463672,106.7633787,10.8792332,3792257838,106.7635958,10.8793121,0
